med	you
tracazolate	1.9919221210702294
vanoxerine	1.561166548449737
fexaramine	1.0287662893171259
sc-10	0.13401900412686657
anabasine	-0.6010900515241364
mifepristone	0.8584371536114382
rilmenidine	0.43385386944265364
brd-k39187410	-0.042769220650581724
parthenolide	-0.2855304294637063
pca-4248	0.3978370482142296
hyoscyamine	1.2532859594598678
capsazepine	0.46448764945347937
l-165041	-0.3342394935977113
w-7	1.0029303537542271
o-1918	-0.11932426031960951
nan-190	0.5835926028142276
digoxigenin	-2.152096397233866
saclofen	0.13954195948908685
u-46619	0.47724471147048414
amiloride	-0.33160835599994426
siguazodan	0.143429990295641
pd-160170	1.1161587252484702
pci-24781	0.41651749871725235
gr-55562	0.20027230248284908
talipexole	-0.7417472718832214
kn-93	-0.2867480546835604
triciribine	-0.04594958538844897
mianserin	1.008712704060803
zatebradine	-0.11352079096393825
brd-k93541117	0.01570627409431071
tropisetron	-1.8072234857185752
aminopurvalanol-a	0.7443326315943921
brimonidine	1.4499597509775177
telenzepine	0.7219059359648032
irinotecan	-0.2413389784085683
bms-191011	-0.2795739934123122
bw-723c86	-0.39065514841782845
brd-k95676198	0.4493633437580508
skf-89976a	-0.43566534817116015
u-0126	0.4569629481947254
sq-22536	0.7329884058349397
l-694247	1.1126926282933305
diazoxide	-1.1282119199909444
ly-303511	0.39732616114820957
zd-7288	0.318321969315974
gw-0742	0.37041242530765506
qx-314	-0.19622746838101096
buddleoflavonoloside	0.8508781853481279
st-91	-1.094822023296596
